Time (s),x,y,z
32240018100998,-6.866639,-1.3300894,8.581203
32240020624332,11.326422,1.4402815,10.873676
32240023147613,-6.0204363,-2.095445,8.844706
32240025670894,-0.5353895,0.3191975,9.526219
32240028194227,9.520829,0.4635251,10.662874
32240030717509,-10.135869,-2.3403826,8.233859
32240033240790,6.803758,1.3444623,10.393981
32240035764123,3.151851,-0.69528764,9.966389
32240038287405,-8.708762,-1.5947899,8.505746
32240040810686,11.394692,1.4935808,10.891642
32240043334019,-4.308867,-2.0319648,8.9375305
32240045857300,-2.5236366,0.036531046,9.186061
32240048380582,10.419134,0.8012876,10.788037
32240050903915,-9.38249,-2.4984841,8.359621
32240053427196,5.1011715,1.2151065,10.294569
32240055950530,4.5406294,-0.53598833,9.994535
32240058473811,-8.953101,-1.6474904,8.36022
32240060997092,10.4035635,1.4935808,10.853913
32240063520425,-3.0805855,-1.8355354,9.126174
32240066043707,-3.2147322,-0.15690385,9.1686945
32240068566988,10.101134,0.85818017,10.8078
32240071090321,-8.456638,-2.4511733,8.436276
32240073613602,4.3136578,1.0743722,10.235281
32240076136884,4.6771717,-0.5563499,10.1131115
32240078660217,-8.385373,-1.6480893,8.384774
32240081183498,9.707078,1.4109368,10.667665
32240083706780,-2.6805406,-1.763671,9.127372
32240086230113,-3.0015347,-0.2682936,9.108808
32240088753394,9.55796,0.82344574,10.733541
32240091276675,-7.970356,-2.3367894,8.54048
32240093800009,4.263353,1.0396377,10.104728
32240096323290,4.359172,-0.5713216,10.010705
32240098846571,-7.933226,-1.5001684,8.390762
32240101369905,9.513643,1.3187109,10.710783
32240103893186,-2.806902,-1.7792417,9.147135
32240106416467,-2.678145,-0.14372872,9.138152
32240108939800,9.254333,0.78931016,10.762885
32240111463082,-7.91526,-2.3278062,8.4290905
32240113986415,4.4771495,1.0773665,10.241869
32240116509696,4.065127,-0.6348018,9.913688
32240119032977,-7.796085,-1.5390949,8.584796
32240121556311,9.42561,1.3756036,10.617959
32240124079592,-2.97219,-1.8187671,9.143541
32240126602873,-2.4601564,-0.11618071,9.157914
32240129126207,9.190253,0.7545757,10.722162
32240131649488,-7.969757,-2.333795,8.542875
32240134172769,4.5514092,1.0719767,10.210129
32240136696102,3.8998392,-0.63599956,9.961597
32240139219384,-7.731407,-1.4726205,8.459034
32240141742665,9.538197,1.3696148,10.760489
32240144265998,-3.156043,-1.8768574,9.074672
32240146789280,-2.3954785,-0.059288096,9.224988
32240149312561,9.135158,0.6958865,10.662275
32240151835894,-8.077554,-2.3775125,8.421904
32240154359175,4.683161,1.0953326,10.23049
32240156882457,3.8645058,-0.6270165,9.962795
32240159405790,-7.7284126,-1.4450724,8.53509
32240161929071,9.593292,1.3354793,10.709586
32240164452405,-3.1961672,-1.90201,9.066287
32240166975686,-2.301456,-0.06946888,9.230976
32240169498967,9.114197,0.67133284,10.663473
32240172022300,-8.074559,-2.3499644,8.493768
32240174545582,4.7574205,1.1474342,10.222106
32240177068863,3.757308,-0.63779616,9.926264
32240179592196,-7.654153,-1.4312984,8.536288
32240182115477,9.591496,1.3294905,10.748512
32240184638759,-3.3375006,-1.893027,9.057903
32240187162092,-2.2032413,-0.0125762625,9.302242
32240189685373,9.0830555,0.68450797,10.62215
32240192208655,-8.110492,-2.3793092,8.462028
32240194731988,4.8801885,1.1845641,10.265224
32240197255269,3.6638844,-0.7054684,9.866377
32240199778550,-7.608639,-1.4079425,8.527904
32240202301884,9.632219,1.3624284,10.773066
32240204825165,-3.3967886,-1.9277613,9.016582
32240207348446,-2.07149,0.03473444,9.30823
32240209871780,9.023767,0.6743272,10.684433
32240212395061,-8.1649885,-2.3319983,8.463225
32240214918342,4.987985,1.1456376,10.276004
32240217441675,3.527941,-0.7018752,9.966389
32240219964957,-7.548153,-1.4139313,8.533893
32240222488290,9.677733,1.3276939,10.71797
32240225011571,-3.4710484,-1.9768686,9.027361
32240227534852,-1.9870495,0.028745743,9.319011
32240230058186,9.01179,0.6833103,10.624546
32240232581467,-8.172175,-2.3236141,8.441068
32240235104748,5.0526633,1.2025303,10.262829
32240237628082,3.4584723,-0.6928922,9.8544
32240240151363,-7.488266,-1.3809934,8.591384
32240242674644,9.680728,1.3803945,10.77067
32240245197977,-3.6303477,-2.025377,9.014186
32240247721259,-1.9073998,0.08623723,9.328592
32240250244540,8.910582,0.6006662,10.648501
32240252767873,-8.24943,-2.3619418,8.417711
32240255291155,5.1478834,1.1875585,10.244863
32240257814436,3.3003705,-0.74619156,9.826852
32240260337769,-7.4451475,-1.4097391,8.581801
32240262861050,9.704682,1.4283041,10.737733
32240265384332,-3.711794,-1.9774675,9.009395
32240267907665,-1.8115807,0.110192016,9.31961
32240270430946,8.819553,0.58150244,10.648501
32240272954280,-8.278175,-2.2900774,8.427294
32240275477561,5.272448,1.1923494,10.314931
32240278000842,3.1907773,-0.7653554,9.854999
32240280524175,-7.3780737,-1.3762025,8.586593
32240283047457,9.704682,1.3175132,10.732942
32240285570738,-3.826777,-2.025377,8.86387
