Time (s),x,y,z
2.841418000E-2,1.0031066,-0.04910731,9.743609
3.346069000E-2,-0.3018303,-0.32219186,9.606468
3.850720100E-2,-0.15151402,-0.24014673,9.708276
4.355365900E-2,1.0090953,0.078451924,9.683722
4.860016900E-2,0.61384135,-0.1419321,9.725044
5.364668000E-2,-0.7336153,-0.29524273,9.535801
5.869319000E-2,0.023954786,-0.16468915,9.72744
6.373970100E-2,1.0917393,0.047310703,9.755587
6.878621100E-2,0.44076806,-0.17906202,9.737021
7.383272200E-2,-0.5838979,-0.280271,9.548976
7.887923200E-2,0.014372871,-0.16468915,9.73223
8.392569000E-2,0.98154736,0.027548004,9.718456
8.897220100E-2,0.47430477,-0.13594341,9.750795
9.401871100E-2,-0.4928697,-0.2994348,9.553767
9.906522200E-2,-0.052700527,-0.18385299,9.708875
1.041117320E-1,0.94321966,0.03293783,9.722649
1.091582420E-1,0.5365872,-0.121570535,9.737021
1.142047530E-1,-0.48328778,-0.27548003,9.586705
1.192512630E-1,-0.062282443,-0.19822586,9.671145
1.242977220E-1,0.9240559,0.027548004,9.699292
1.293442320E-1,0.52700526,-0.12636149,9.699292
1.343907420E-1,-0.50724256,-0.28506196,9.563349
1.394372530E-1,-0.09102818,-0.16468915,9.72744
1.444837630E-1,0.9192649,0.061683573,9.746603
1.495302740E-1,0.5503612,-0.11618071,9.72744
1.545767840E-1,-0.46412396,-0.28506196,9.548976
1.596232940E-1,-0.0670734,-0.15989819,9.708875
1.646697530E-1,0.9288468,0.07126549,9.73223
1.697162630E-1,0.5599431,-0.14552532,9.713666
1.747627740E-1,-0.45454204,-0.30901673,9.539993
1.798092840E-1,-0.095220275,-0.1934349,9.73223
1.848557940E-1,0.93363774,0.052101657,9.72744
1.899023050E-1,0.5791069,-0.16468915,9.72744
1.949488150E-1,-0.459333,-0.30901673,9.586705
1.999953260E-1,-0.10001123,-0.15031628,9.750795
2.050417840E-1,0.9384287,0.10001123,9.704083
2.100882940E-1,0.5551522,-0.14552532,9.708875
2.151348050E-1,-0.44496015,-0.29464385,9.577124
2.201813150E-1,-0.14312984,-0.1694801,9.704083
2.252278260E-1,0.9240559,0.047310703,9.699292
2.302743360E-1,0.5503612,-0.15510723,9.783733
2.353208470E-1,-0.47849685,-0.27068907,9.581914
2.403673570E-1,-0.15271176,-0.17427106,9.713666
2.454138150E-1,0.93363774,0.056892615,9.704083
2.504603260E-1,0.5934798,-0.1694801,9.708875
2.555068360E-1,-0.4401692,-0.27548003,9.56814
2.605533470E-1,-0.13354793,-0.14073436,9.760377
2.655998570E-1,0.9288468,0.08563836,9.73223
2.706463670E-1,0.61264366,-0.16468915,9.746603
2.756928780E-1,-0.46412396,-0.2994348,9.539993
2.807393880E-1,-0.16229367,-0.17906202,9.746603
2.857858470E-1,0.90010107,0.042519744,9.699292
2.908323570E-1,0.6078527,-0.18864393,9.750795
2.958788670E-1,-0.4497511,-0.2994348,9.553767
3.009253780E-1,-0.15271176,-0.18385299,9.69031
3.059718880E-1,0.9240559,0.056892615,9.6573715
3.110183990E-1,0.6078527,-0.17427106,9.722649
3.160649090E-1,-0.45454204,-0.29464385,9.577124
3.211114190E-1,-0.1479208,-0.14552532,9.741813
3.261578780E-1,0.90010107,0.06647453,9.69031
3.312043880E-1,0.63180745,-0.16468915,9.81188
3.362508990E-1,-0.45454204,-0.280271,9.596287
3.412974090E-1,-0.16708463,-0.14073436,9.713666
3.463439190E-1,0.91447395,0.095220275,9.675937
3.513904300E-1,0.64138937,-0.16468915,9.72744
3.564369400E-1,-0.43537822,-0.30901673,9.558558
3.614834510E-1,-0.17666654,-0.1694801,9.741813
3.665299610E-1,0.87614626,0.08563836,9.671145
3.715764190E-1,0.65576226,-0.17427106,9.718456
3.766229300E-1,-0.44496015,-0.28985292,9.553767
3.816694400E-1,-0.20541228,-0.19822586,9.713666
3.867159510E-1,0.90010107,0.08563836,9.694502
3.917624610E-1,0.65576226,-0.21738967,9.746603
3.968089720E-1,-0.44496015,-0.27548003,9.558558
4.018554820E-1,-0.20062132,-0.17906202,9.741813
4.069019920E-1,0.909683,0.09042931,9.69031
4.119484510E-1,0.63180745,-0.14073436,9.72744
4.169949610E-1,-0.43537822,-0.280271,9.539993
4.220414720E-1,-0.17666654,-0.2030168,9.737021
4.270879820E-1,0.86656433,0.08563836,9.699292
4.321344920E-1,0.67013514,-0.17906202,9.769959
4.371810030E-1,-0.45454204,-0.3138077,9.52562
4.422275130E-1,-0.20062132,-0.19822586,9.708875
4.472740240E-1,0.8809372,0.07126549,9.661564
4.523204820E-1,0.6749261,-0.16468915,9.741813
4.573669920E-1,-0.44496015,-0.26529926,9.544186
4.624135030E-1,-0.24373995,-0.15989819,9.704083
4.674600130E-1,0.91447395,0.109593146,9.708875
4.725065240E-1,0.71325374,-0.13594341,9.737021
4.775530340E-1,-0.44496015,-0.25571734,9.520829
4.825995440E-1,-0.21499419,-0.1694801,9.694502
4.876460550E-1,0.89051914,0.0808474,9.685518
4.926925130E-1,0.72283566,-0.15031628,9.737021
4.977390240E-1,-0.46891493,-0.29464385,9.56814
5.027855340E-1,-0.2485309,-0.23176254,9.72744
5.078320440E-1,0.87614626,0.109593146,9.699292
5.128785030E-1,0.7419995,-0.17427106,9.760377
5.179250130E-1,-0.4401692,-0.3233896,9.60527
5.229715240E-1,-0.27727664,-0.21738967,9.737021
5.280180340E-1,0.8857282,0.0808474,9.708875
5.330645440E-1,0.7324176,-0.16468915,9.769959
5.381110550E-1,-0.43537822,-0.30901673,9.60527
5.431575650E-1,-0.24373995,-0.23176254,9.708875
5.482040760E-1,0.87614626,0.06647453,9.671145
5.532505860E-1,0.7515814,-0.15510723,9.760377
5.582970970E-1,-0.43537822,-0.28985292,9.572931
5.633436070E-1,-0.26769474,-0.18864393,9.72744
5.683901170E-1,0.89051914,0.052101657,9.708875
5.734366800E-1,0.7419995,-0.15989819,9.755587
5.784831900E-1,-0.46891493,-0.31859866,9.548976
5.835297010E-1,-0.30602238,-0.24134447,9.704083
5.885762110E-1,0.91447395,0.056892615,9.713666
5.936227220E-1,0.7611633,-0.18385299,9.765168
5.986692320E-1,-0.43537822,-0.29464385,9.591496
6.037157420E-1,-0.29164952,-0.21738967,9.69031
6.087622530E-1,0.86177343,0.037728786,9.60527
6.138087630E-1,0.76595426,-0.16468915,9.737021
6.188552740E-1,-0.41142344,-0.30422577,9.581914
6.239017840E-1,-0.27248567,-0.2365535,9.680728
6.289482940E-1,0.84740055,0.07605644,9.675937
6.339948050E-1,0.7707452,-0.14073436,9.760377
6.390413150E-1,-0.42100537,-0.28985292,9.577124
6.440878260E-1,-0.30602238,-0.2269716,9.64779
6.491343360E-1,0.904892,0.061683573,9.675937
6.541808470E-1,0.82344574,-0.15989819,9.760377
6.592273570E-1,-0.40184152,-0.31859866,9.64779
6.642738670E-1,-0.33955908,-0.2030168,9.708875
6.693203780E-1,0.86656433,0.037728786,9.666355
6.743668880E-1,0.80907285,-0.14552532,9.694502
6.794133990E-1,-0.42100537,-0.3138077,9.596287
6.844599090E-1,-0.29164952,-0.24613541,9.737021
6.895064190E-1,0.8857282,0.042519744,9.680728
6.945529300E-1,0.8138638,-0.13115245,9.765168
6.995994400E-1,-0.40663248,-0.32818055,9.671145
7.046459510E-1,-0.33955908,-0.20780776,9.69031
7.096924610E-1,0.89051914,0.07605644,9.675937
7.147389720E-1,0.8378186,-0.11138975,9.77475
7.197854820E-1,-0.4162144,-0.3138077,9.610061
7.248319920E-1,-0.37788674,-0.20780776,9.718456
7.298785030E-1,0.84740055,0.056892615,9.666355
7.349250130E-1,0.85698247,-0.11618071,9.750795
7.399715240E-1,-0.41142344,-0.33776248,9.601078
7.450180340E-1,-0.36351386,-0.26529926,9.722649
7.500645970E-1,0.8857282,0.052101657,9.685518
7.551111070E-1,0.8713553,-0.106598794,9.755587
7.601576170E-1,-0.4162144,-0.3473444,9.610061
7.652041280E-1,-0.40663248,-0.23176254,9.699292
7.702506380E-1,0.86656433,0.022757046,9.64779
7.752971490E-1,0.87614626,-0.121570535,9.760377
7.803436590E-1,-0.40663248,-0.34255344,9.614852
7.853901690E-1,-0.40184152,-0.18864393,9.675937
7.904366800E-1,0.86177343,0.042519744,9.671145
7.954831900E-1,0.90010107,-0.106598794,9.769959
8.005297010E-1,-0.39705056,-0.3138077,9.64779
8.055762110E-1,-0.3922596,-0.22218063,9.685518
8.106227220E-1,0.8521915,0.037728786,9.694502
8.156692320E-1,0.91447395,-0.09701688,9.750795
8.207157420E-1,-0.3826777,-0.31859866,9.619643
8.257622530E-1,-0.41142344,-0.21259873,9.661564
8.308087630E-1,0.83302766,-0.0011977393,9.652581
8.358552740E-1,0.8713553,-0.09701688,9.765168
8.409017840E-1,-0.37309578,-0.3808811,9.60527
8.459482940E-1,-0.40663248,-0.24134447,9.671145
8.509948050E-1,0.8378186,0.01796609,9.652581
8.560413150E-1,0.8953101,-0.11138975,9.737021
8.610878260E-1,-0.3922596,-0.36171725,9.633417
8.661343360E-1,-0.459333,-0.24134447,9.708875
8.711808470E-1,0.8521915,0.047310703,9.694502
8.762273570E-1,0.89051914,-0.08264401,9.783733
8.812738670E-1,-0.40184152,-0.34255344,9.629225
8.863203780E-1,-0.44496015,-0.18385299,9.652581
8.913668880E-1,0.8521915,0.027548004,9.666355
8.964133990E-1,0.909683,-0.092225924,9.77475
9.014599090E-1,-0.3826777,-0.390463,9.638208
9.065064190E-1,-0.46412396,-0.23176254,9.708875
9.115529300E-1,0.8378186,-0.0059886966,9.671145
9.165994400E-1,0.9480106,-0.08264401,9.755587
9.216459510E-1,-0.37788674,-0.3569263,9.6573715
9.266924610E-1,-0.48328778,-0.21738967,9.629225
9.317390240E-1,0.8713553,0.027548004,9.680728
9.367855340E-1,0.9528016,-0.058689225,9.765168
9.418320440E-1,-0.37309578,-0.37129918,9.638208
9.468785550E-1,-0.48807874,-0.17427106,9.685518
9.519250650E-1,0.8713553,0.047310703,9.661564
9.569715760E-1,0.9240559,-0.03473444,9.77475
9.620180860E-1,-0.3922596,-0.36650822,9.6573715
9.670645970E-1,-0.46412396,-0.21738967,9.675937
9.721111070E-1,0.8521915,-0.025152525,9.661564
9.771576170E-1,0.9671745,-0.025152525,9.769959
9.822041280E-1,-0.33476812,-0.37609014,9.6573715
9.872506380E-1,-0.5024516,-0.21259873,9.666355
9.922971490E-1,0.8378186,-0.0011977393,9.6573715
9.973436590E-1,0.97196543,-0.039525397,9.750795
1.002390169E0,-0.349141,-0.40004492,9.619643
1.007436680E0,-0.52161545,-0.18864393,9.652581
1.012483190E0,0.7905079,-0.032338962,9.676536
1.017529701E0,0.96298236,-0.056293745,9.775349
1.022576211E0,-0.3389602,-0.37369466,9.643598
1.027622722E0,-0.5401804,-0.1814575,9.686117
1.032669232E0,0.82404464,-0.013175132,9.699891
1.037715742E0,0.9581914,-0.032338962,9.841225
1.042762253E0,-0.34854212,-0.38327658,9.662762
1.047808815E0,-0.56353635,-0.20062132,9.666954
1.052855326E0,0.8048808,-0.01796609,9.662762
1.057901836E0,0.9581914,-0.022757046,9.723846
1.062948347E0,-0.34375116,-0.37848562,9.662762
1.067994857E0,-0.56353635,-0.23954785,9.723846
1.073041367E0,0.8336265,-0.0035932178,9.728039
1.078087930E0,0.96298236,0.010779654,9.784332
1.083134440E0,-0.3533331,-0.335367,9.690908
1.088180951E0,-0.56353635,-0.20541228,9.699891
1.093227461E0,0.82883555,-0.008384175,9.648389
1.098273972E0,0.98693717,0.029943481,9.751993
1.103320482E0,-0.35812405,-0.3886664,9.690908
1.108367044E0,-0.60665494,-0.24433881,9.699891
1.113413555E0,0.80967176,-0.008384175,9.690908
1.118460065E0,0.9677733,0.0011977393,9.770558
1.123506576E0,-0.34375116,-0.37369466,9.596886
1.128553086E0,-0.601864,-0.21499419,9.643598
1.133599597E0,0.80967176,-0.0035932178,9.662762
1.138646159E0,1.0108919,-0.008384175,9.798705
1.143692669E0,-0.31500542,-0.37848562,9.676536
1.148739180E0,-0.597073,-0.20062132,9.676536
1.153785690E0,0.78571695,-0.008384175,9.681327
1.158832201E0,0.9965191,0.015570611,9.765767
1.163878711E0,-0.34375116,-0.3886664,9.676536
1.168925274E0,-0.61623687,-0.22457612,9.695101
1.173971784E0,0.7905079,0.010779654,9.709474
1.179018294E0,0.9917281,0.0011977393,9.793914
1.184064805E0,-0.31500542,-0.4078302,9.65318
1.189111315E0,-0.61623687,-0.24433881,9.676536
1.194157826E0,0.771943,-0.022757046,9.671744
1.199204388E0,1.0252649,-0.008384175,9.756186
1.204250899E0,-0.31500542,-0.40303928,9.671744
1.209297409E0,-0.6354007,-0.23894899,9.648389
1.214343919E0,0.7431972,-0.037129916,9.699891
1.219390430E0,0.9917281,0.010779654,9.81727
1.224436940E0,-0.31979638,-0.38327658,9.648389
1.229483503E0,-0.6354007,-0.21499419,9.662762
1.234530013E0,0.7575701,-0.027548004,9.709474
1.239576524E0,1.0588015,0.015570611,9.793914
1.244623034E0,-0.30063257,-0.35932177,9.65797
1.249669544E0,-0.6354007,-0.21499419,9.662762
1.254716055E0,0.7288243,-0.032338962,9.65797
1.259762617E0,1.0300558,-0.008384175,9.784332
1.264809128E0,-0.25751394,-0.3880675,9.61066
1.269855638E0,-0.65935546,-0.22936708,9.695101
1.274902149E0,0.73840624,-0.046711832,9.73762
1.279948659E0,1.0300558,0.015570611,9.760976
1.284995169E0,-0.25272298,-0.34015796,9.638806
1.290041732E0,-0.61623687,-0.19583037,9.686117
1.295088242E0,0.7527791,-0.027548004,9.681327
1.300134753E0,1.0540105,0.025152525,9.747202
1.305181263E0,-0.25751394,-0.38327658,9.666954
1.310227774E0,-0.6785193,-0.24433881,9.65797
1.315274284E0,0.767152,-0.037129916,9.671744
1.320320847E0,1.0779654,0.029943481,9.793914
1.325367357E0,-0.30542353,-0.34015796,9.65318
1.330413867E0,-0.6833103,-0.27308455,9.638806
1.335460378E0,0.7527791,-0.027548004,9.704682
1.340506888E0,1.0731744,0.025152525,9.803496
1.345553399E0,-0.30542353,-0.32099414,9.638806
1.350599909E0,-0.6641464,-0.23894899,9.666954
