Time (s),x,y,z
2522235741211,3.7453308,0.34135568,10.107122
2522238261211,-8.6470785,-2.3984728,9.984954
2522240781159,9.920875,3.2919865,8.989632
2522243301159,-6.142007,-2.6386197,10.653891
2522245821159,-0.15929933,0.7240334,9.027361
2522248341107,6.9810233,1.5905977,9.800502
2522250861107,-10.07658,-3.04645,10.168207
2522253381107,9.047723,3.3249242,8.895011
2522255901107,-3.449489,-1.9253659,10.578433
2522258421055,-3.2955797,-0.3545308,9.229779
2522260941055,9.087248,2.4236255,9.672942
2522263461055,-10.252648,-3.4057717,10.351461
2522265981003,7.309803,2.8643935,8.828536
2522268501003,-0.5892877,-0.94860953,10.492795
2522271021003,-6.0282216,-1.2408578,9.399259
2522273540951,10.3376875,3.0554328,9.445971
2522276060951,-9.568739,-3.3872066,10.483213
2522278580951,4.928098,2.255343,8.842909
2522281100899,2.352959,-0.043717485,10.337089
2522283620899,-8.078752,-2.0798743,9.6441965
2522286140899,10.733541,3.409365,9.224389
2522288660899,-8.11169,-3.0811844,10.51615
2522291180846,2.3637385,1.4600441,8.894412
2522293700846,4.977804,0.7988921,10.199947
2522296220846,-9.49927,-2.7224615,9.865179
2522298740794,10.326309,3.4956021,9.096829
2522301260794,-6.1210465,-2.6074784,10.63353
2522303780794,-0.26350263,0.6210278,9.002209
2522306300742,7.098402,1.5696373,9.968784
2522308820742,-10.170603,-3.1632295,10.011304
2522311340742,9.338174,3.3225288,9.025564
2522313860690,-3.8998392,-1.9708799,10.576636
2522316380690,-2.7799528,-0.19403376,9.1621065
2522318900690,8.690197,2.2391737,9.770558
2522321420690,-10.284987,-3.3458846,10.237078
2522323940638,7.849983,3.0536363,8.968672
2522326460638,-1.5055583,-1.3199086,10.468242
2522328980638,-5.0466743,-0.9270502,9.30823
2522331500586,9.830445,2.8086987,9.619044
2522334020586,-9.774151,-3.4183478,10.383202
2522336540586,5.972527,2.5020773,8.921361
2522339060534,0.93244004,-0.50604486,10.3969755
2522341580534,-6.9432945,-1.6367108,9.487293
2522344100534,10.413145,3.1680205,9.407044
2522346620482,-8.787813,-3.2368903,10.448479
2522349140482,3.854924,1.9127896,8.897407
2522351660482,3.3021672,0.27907324,10.236479
2522354180482,-8.4554405,-2.264925,9.684919
2522356700430,10.414343,3.339896,9.236965
2522359220430,-7.267882,-2.930868,10.589811
2522361740430,1.5594566,1.2654115,8.968073
2522364260378,5.446719,0.98274505,10.11371
2522366780378,-9.486694,-2.7967212,9.920276
2522369300378,9.930456,3.3967886,9.118389
2522371820326,-5.4551034,-2.5050716,10.552083
2522374340326,-0.79829323,0.445559,9.029158
2522376860326,7.322379,1.7151626,9.915484
2522379380274,-10.014298,-3.1135232,10.02388
2522381900274,8.9375305,3.2237153,9.023767
2522384420274,-3.3919976,-1.8636823,10.561066
2522386940274,-3.151851,-0.24493769,9.127372
2522389460221,8.7794285,2.3948796,9.740615
2522391980221,-10.05562,-3.3009694,10.244863
2522394500221,7.4445486,2.945241,8.938728
2522397020169,-1.1324625,-1.1312647,10.471235
2522399540169,-5.245499,-0.9492084,9.457349
2522402060169,9.814276,2.7727664,9.598682
2522404580117,-9.535801,-3.3542688,10.409552
2522407100117,5.6629114,2.4703372,8.896209
2522409620117,1.2378635,-0.42280197,10.367032
2522412140065,-7.089419,-1.7115694,9.4854965
2522414660065,10.353258,3.1554441,9.339372
2522417180065,-8.530898,-3.1961672,10.452072
2522419700065,3.578246,1.8427218,8.8914175
2522422220013,3.5590823,0.2958416,10.281993
2522424740013,-8.564435,-2.3535576,9.758581
2522427260013,10.329304,3.3614552,9.235767
2522429779961,-7.055283,-2.875173,10.565258
2522432299961,1.3151177,1.162406,8.947711
2522434819961,5.692256,1.0863495,10.089157
2522437339909,-9.477112,-2.8033087,9.862784
2522439859909,9.834039,3.3662462,9.080061
2522442379909,-5.268256,-2.3775125,10.570049
2522444899857,-1.0540105,0.3868698,9.070479
2522447419857,7.5038366,1.7421118,9.909496
2522449939857,-10.039451,-3.2057493,10.046637
2522452459857,8.767451,3.2368903,9.042333
2522454979805,-3.105738,-1.7786428,10.565258
2522457499805,-3.3506756,-0.3509376,9.216603
2522460019805,8.911779,2.388891,9.744806
2522462539753,-10.010705,-3.3973875,10.235281
2522465059753,7.2588987,2.8823595,8.8914175
2522467579753,-0.89051914,-1.1318636,10.513157
2522470099701,-5.4652843,-1.1126997,9.428603
2522472619701,9.867575,2.8967323,9.523225
2522475139701,-9.501067,-3.3542688,10.404761
2522477659649,5.389228,2.3793092,8.9572935
2522480179649,1.4971741,-0.36051953,10.338885
2522482699649,-7.257102,-1.7355242,9.598682
2522485219649,10.401168,3.2177265,9.377101
2522487739596,-8.372197,-3.1722124,10.452072
2522490259596,3.3087547,1.7660666,8.872253
2522492779596,3.8231838,0.41082457,10.235281
2522495299544,-8.669836,-2.3870943,9.720852
2522497819544,10.276004,3.399783,9.249541
2522500339544,-6.867837,-2.870382,10.565258
